German,English
Ich,I
ist,is
ich,I
nicht,Not
Sie,you
du,you
das,the
die,the
es,it
und,and
der,the
zu,to
sie,she
Das,The
ein,a
in,in
wir,we
Du,You
mir,me
mit,With
Was,What
den,the
mich,me
was,What
auf,on
dass,that
er,he
eine,a
Es,It
hat,Has
Wir,We
Und,And
so,so
sind,are
von,of
dich,you
war,was
haben,to have
für,For
Ja,Yes
hier,here
an,at
habe,have
Er,He
bin,am
wie,as
noch,still
dir,to you
uns,us
sich,themselves
Die,The
nur,just
einen,one
Nein,No
dem,the
ihn,him
auch,also
hast,have
sein,be
ihr,her
da,there
aus,out
kann,can
aber,but
Aber,But
schon,beautiful
wenn,if
wird,becomes
um,around
Wie,As
als,when
bist,are
im,in the
mal,times
doch,but
gut,Well
meine,my
jetzt,now
weiß,White
Wenn,If
werden,will
Der,The
nach,after
ja,Yes
Oh,Oh
oder,or
dann,then
will,want
mein,my
mehr,more
keine,none
etwas,something
alles,everything
muss,got to
immer,always
nichts,Nothing
man,you
wieder,again
bei,at
hab,hab
machen,do
vor,in front
Mann,man
ihm,him
einem,one
tun,to do
zum,to the
können,can
sagen,say
werde,will
denn,because
Ist,is
Ein,A
Warum,Why
einer,one
gehen,walk
sehen,see
sehr,very
geht,going
alle,all
über,about
müssen,have to
diese,these
einfach,easy
euch,to you
des,of
nie,never
Also,So
Wo,Where
los,Come on
Zeit,time
Ihnen,them
gibt,gives
wirklich,for real
Hey,Hey
Danke,thanks
deine,yours
würde,would
soll,should
Da,There
hatte,would have
Hier,Here
wissen,knowledge
bitte,You're welcome
viel,a lot of
Dann,Then
So,So
gesagt,told
Ihr,your
am,at the
kein,no
Komm,come over
Wer,who
zurück,back
wurde,has been
In,In
wollte,wanted to
Frau,Mrs
Leben,Life
wäre,would
wo,Where
damit,in order to
Nicht,Not
Gott,God
Leute,People
kannst,can
heute,today
meinen,say
dieser,this
dein,your
kommt,coming
kommen,come
willst,want
Na,N / A
wollen,want
sicher,for sure
ganz,all
Jetzt,Now
Mein,My
Mr,mr
also,so
zur,to
Hast,Have
Gut,Well
hätte,would have
weil,because
tut,does
Hallo,Hi there
Okay,OK
macht,power
waren,were
bis,to
Vielleicht,Perhaps
könnte,could
Eine,A
Bitte,You're welcome
weg,path
seine,his
lassen,to let
Vater,father
gesehen,seen
Nun,Now
gerade,straight
Alles,Everything
glaube,faith
Tag,Day
ab,from
Geld,money
gemacht,made
nein,No
Sir,Sir
sollte,should
sagte,said
keinen,no
durch,by
zwei,two
diesen,this
passiert,happens
wohl,well
vielleicht,maybe
ihre,your
Mutter,mother
reden,talk
anderen,other
dachte,thought
daß,that
möchte,would like to
wirst,will
gehört,belongs
weißt,know
Keine,None
raus,Out
Meine,My
paar,pair
besser,better
ob,if
her,here
musst,must
Ordnung,order
meiner,mine
klar,clear
ihnen,them
Los,Come on
diesem,this
meinem,my
lange,Long
Lass,let
dieses,this
helfen,help
unsere,our
Weg,path
selbst,even
Nur,Just
finden,Find
Mal,Times
jemand,someone
denke,think
Ach,Oh
Nacht,night
genau,I agree
gar,at all
sagt,says
Welt,world
Auf,On
Mädchen,girl
ins,in the
hin,down
vom,from
schön,beautiful
warum,Why
weiter,continue
Leid,suffering
gleich,equal
wer,who
Man,you
ohne,without
Menschen,People
deinen,your
leid,suffering
Wieso,How so
dort,there
Als,When
Hause,home
sollten,should
davon,from that
zusammen,together
geben,give
Ok,OK
Hör,Listen
machst,doing
Freund,friend
richtig,correct
Angst,anxiety
Bist,are
Tut,does
Mit,With
viele,lots
sieht,looks
Haus,House
tot,dead
sollen,should
ganze,whole
andere,other
getan,done
okay,OK
rein,purely
Diese,These
Moment,moment
bleiben,stay
brauchen,need
Weil,Because
Kinder,children
unter,under
Arbeit,job
Für,For
Problem,problem
dafür,for this
Herr,Mr
Haben,To have
wegen,because of
geht's,it's
liebe,love
genug,enough
dabei,there
bringen,bring
Ihre,Your
ne,ne
gegen,versus
Weißt,know
Sag,say
schnell,fast
nun,now
eines,one
brauche,need
Abend,Eve
hatten,had
Jahre,years
Mach,Mach
Bruder,Brothers
Sache,Thing
hören,Listen
komm,come over
Sohn,son
seit,since
Morgen,tomorrow
drei,three
steht,stands
Scheiße,crap
mag,like
sei,be
unser,our
konnte,could
habt,have
Oder,Or
einmal,once
heißt,is called
OK,OK
Willst,Want
Kopf,head
Hilfe,Help
Familie,family
Geh,go
Baby,infant
Dich,You
Sind,are
erst,first
fertig,finished
gefunden,found
seid,are
kam,came
nehmen,to take
morgen,tomorrow
sprechen,speak
Mir,Me
sofort,right away
Kann,can
Hat,Has
Jahren,years
Kind,child
seinen,his
Genau,I agree
daran,it
Junge,Boy
Minuten,minutes
bevor,before
Stadt,city
beim,at the
sterben,to die
warst,were
Recht,Law
glauben,believe
Warte,Wait
darüber,about that
deiner,yours
deinem,your
Ende,The End
He,He
Dinge,things
Namen,names
wahr,true
Alle,All
allein,alone
Natürlich,Naturally
töten,kill
Nichts,Nothing
Wirklich,For real
bekommen,to get
Männer,Men
vergessen,to forget
Doch,But
dazu,to
gab,gave
später,later
wusste,knew
Augen,eyes
Dank,thanks
Freunde,friends
Jungs,guys
halten,hold
warten,waiting
Glück,happiness
beide,both
gute,quality
Dein,Your
kennen,know
Deine,Yours
n,n
Hi,Hi
Dr,Dr
Auto,automobile
sage,legend
gehe,go
komme,get
Dir,to you
mache,make
Von,From
Uhr,Clock
sehe,see
Teufel,devil
sonst,otherwise
Art,kind
gern,gladly
Liebe,love
jeden,each
könnten,could
ihren,their
Halt,Stop
Fall,case
Dad,Dad
Film,Movie
bisschen,little
eigentlich,actually
weit,far
mach,mach
Gib,Give
vorbei,past
verstehe,understand
danke,Thank you
drin,in it
Im,in the
Name,Surname
ganzen,all
Musik,music
würden,would
Tür,door
verrückt,crazy
solltest,should
denken,think
Noch,Yet
dran,tuned
Sieh,Look
lieber,rather
Den,The
leben,Life
Guten,good
Um,Around
darauf,thereon
Kein,No
stimmt,Right
Kerl,Guy
letzte,latest
Job,job
verloren,lost
wurden,were
kenne,know
Ahnung,idea
seiner,his
Grund,reason
toll,Great
Bis,To
Verdammt,Damn it
bald,soon
bereit,ready
all,Alles
jemanden,someone
hinter,Behind
Schon,Nice
Sehr,Very
Hand,hand
darf,may
Dieser,This
Frauen,women
Euch,To you
Idee,idea
runter,down
Macht,Power
draußen,outside
lang,long
Land,country
lass,let
Typ,Type
hätten,had
egal,no matter
arbeiten,work
spät,late
stehen,stand
ok,OK
Gute,Quality
gekommen,came
Bei,at
etwa,approximately
essen,eat
kleine,small
jeder,everyone
Schwester,sister
Wasser,water
spielen,play
Geschichte,story
seinem,his
liegt,lies
sah,saw
Mom,Mom
Seite,page
wenig,little
ruhig,calm
Frage,question
meinst,mean
überhaupt,at all
fahren,drive
Ganz,All
Gehen,Walk
Essen,eat
Ruhe,Quiet
echt,real
versucht,tries
Tochter,daughter
Kommt,comes
Einen,a
ging,went
Jahr,year
braucht,need
fast,nearly
neue,new
geh,go
ziemlich,quite
anders,different
siehst,see
Polizei,police
Stunden,hours
musste,had to
Spiel,game
gewesen,been
gerne,with pleasure
finde,find
erzählt,tells
Tod,death
Ort,place
Chance,chance
bedeutet,means
War,was
sag,say
sagst,say
fragen,ask
letzten,last
sogar,even
ersten,first
Sachen,stuff
Wahrheit,truth
einzige,single
kurz,short
denen,to those
Kommen,Come
Spaß,fun
Nach,After
oben,above
Mama,mummy
schwer,heavy
Schule,school
je,ever
eben,just
Gesicht,face
bestimmt,certainly
treffen,to meet
niemand,nobody
Woche,week
Entschuldigung,Sorry
Sorgen,To care
warte,wait
natürlich,Naturally
schlecht,bad
große,size
getötet,killed
verstehen,understand
hoffe,hope
Ah,Ah
Sei,Be
Zimmer,room
hoch,high
unserer,our
Tage,days
Teil,part
Wann,When
suchen,search
verlassen,leave
zeigen,demonstrate
wollten,wanted to
lässt,leaves
Wort,word
eins,one
zwischen,between
Woher,From where
Schatz,treasure
Wissen,Knowledge
versuchen,to attempt
Können,Can
Kannst,Can
nett,kind
Zu,To
kriegen,Obtain
Geht,going
Arsch,ass
kleinen,small
Hab,hab
weiss,White
erste,first
läuft,running
kommst,coming
Freundin,girlfriend
Mensch,man
beiden,both
Ding,thing
niemals,No way
endlich,Finally
Nimm,take
muß,got to
gehst,going
Heute,today
denkst,think
Herz,heart
Waffe,weapon
Soll,Should
tust,do
Dollar,dollar
nehme,take
Schau,show
holen,to fetch
oft,often
drauf,it
anderes,other
Niemand,Nobody
unten,below
Wagen,dare
Yeah,yeah
Schön,Nice
wichtig,important
Mrs,mrs
hättest,had
allen,all
Miss,Miss
ihrer,of their
gedacht,thought
Nummer,number
würdest,would
erzählen,tell
bleibt,remains
Auch,Also
Hände,hands
Blut,blood
Sehen,See
bloß,just
recht,Law
bringt,brings
Bett,bed
Lassen,To let
Eltern,parents
gefällt,like
Schuld,fault
eure,your
Plan,plan
Krieg,war
neuen,new
Klar,Clear
retten,rescue
guter,goods
während,while
ihrem,their
wären,would
Fehler,error
scheint,seems
Lasst,Leaves
gegeben,given
An,At
hör,hear
glücklich,happy
verdammt,damned
alt,old
Platz,place
darum,therefore
Vielen,a lot of
falsch,not correct
unseren,our
schlafen,sleep
Sagen,Say
nächsten,next
fünf,five
frei,free
Sorge,worry
Vor,In front
fest,firmly
bereits,already
alleine,alone
Denn,Because
Zwei,Two
Fragen,ask
möglich,possible
irgendwie,somehow
Papa,father
lernen,learn
gestern,yesterday
hierher,here
Schiff,ship
vier,four
irgendwas,anything
Stimmt,Right
Menge,quantity
keiner,none
brauchst,need
Typen,types
Dass,That
Stunde,hour
Szene,scene
Hölle,hell
einige,some
Deshalb,That's why
geworden,become
Telefon,phone
Darf,May
Feuer,Fire
Wollen,Want
Bin,am
Alter,Age
Captain,Captain
Aus,Out
Dieses,This
Probleme,issues
Jeder,Everyone
verstanden,Understood
wann,when
alten,old
gibt's,there's
sondern,rather
guten,good
zwar,though
eigenen,own
New,New
Körper,body
hört,hears
Zum,To the
gebe,give
Kumpel,Dude
Hund,dog
nochmal,once again
hab's,got it
früh,early
Hören,Listen
trinken,drink
besten,best
meines,mine
schaffen,create
alte,old
Luft,air
Jemand,Someone
dürfen,allowed to
Meister,master
Erde,earth
Seit,since
Sicher,For sure
Hört,hear
Zukunft,future
kaum,barely
funktioniert,works
voll,full
Bleib,Stay
reicht,enough
weh,sore
stellen,put
Siehst,See
kleiner,smaller
großen,huge
Waffen,weapons
Büro,office
Wahl,choice
verlieren,to lose
Wochen,weeks
Damit,In order to
Stück,piece
lieben,love
allem,all
getroffen,met
äh,um
Am,At the
geschafft,made
tue,do
gefallen,like
Tja,Well
Boss,boss
überall,all over
Sieht,looks
passieren,happen
lustig,funny
Licht,light
gebracht,brought
nennen,call
Folge,episode
Gefühl,feeling
völlig,completely
denkt,thinks
Schlüssel,key
drüben,over there
Richtig,Correct
wieso,how so
Leuten,people
Buch,book
laufen,to run
spielt,plays
früher,earlier
Sein,Be
krank,ill
gegangen,went
fand,found
Seine,His
Pass,passport
fühle,feel
Himmel,sky
froh,glad
leicht,light
direkt,directly
langsam,slowly
wolltest,wanted
erinnern,recall
zuerst,first
Krankenhaus,hospital
Viel,A lot of
beste,best
welche,Which
genommen,took
Arzt,doctor
unserem,our
Idiot,idiot
Machen,Do
glaubst,think
jede,each
Ohne,Without
groß,large
hattest,had
Äh,um
Jungen,Boys
Rest,rest
Unsere,Our
versuche,tries
Tagen,meet
nächste,next
Entschuldigen,To apologize
Doktor,doctor
spricht,speaks
könnt,can
hält,keeps
Team,team
Verstanden,Understood
kämpfen,fight
heiraten,marry
könntest,could
Wow,Wow
Etwas,Something
Straße,road
Mist,Damn
König,king
redest,talking about
kleines,small
lebt,lives
erklären,to explain
worden,been
Millionen,millions
Wiedersehen,meet again
Onkel,uncle
kennst,know
sitzen,sit
dies,this
weniger,fewer
Kaffee,coffee
ernst,serious
wollt,want
tragen,wear
Zeug,stuff
trotzdem,Nevertheless
Ihren,Their
kaufen,to buy
Liste,list
ändern,to change
Kampf,struggle
hasse,hate
Person,person
Mund,mouth
umbringen,kill
Präsident,president
Boden,ground
Wohin,Where
machte,made
Party,party
gefragt,asked
Seht,Look
irgendwo,somewhere
kümmern,To take care of
kennt,knows
verletzt,injured
Habt,Have
Nachricht,message
Willkommen,welcome
vielen,a lot of
hart,hard
lasse,leave
total,total
Gefängnis,jail
außer,except
Sicherheit,security
Schnell,Fast
wem,whom
ehrlich,honest
interessiert,Interested
Sex,sex
sagten,said
ziehen,pull
Welche,Which
Unser,Our
Augenblick,moment
angerufen,called
aufhören,stop
Klasse,great
Bild,picture
stark,strongly
Dies,This
Eure,Your
zehn,ten
Sinn,sense
vorstellen,imagine
Traum,dream
länger,longer
manchmal,sometimes
anrufen,call
sechs,six
Arschloch,asshole
sollst,shalt
gestorben,died
Tages,day
war's,was it
verschwinden,disappear
Kraft,force
gesprochen,spoken
heraus,out
genauso,just like that
wärst,'d
Eins,one
damals,back then
heißen,be called
Liebling,Darling
wahrscheinlich,probably
deshalb,that's why
Stelle,Job
halt,stop
erwartet,expected
solche,such
meisten,most
bringe,bring
still,quiet
umgebracht,killed
Stimme,voice
General,general
Geben,Give
Entschuldige,Excuse me
Vergiss,forget
rede,speech
führen,to lead
Bewegung,Move
höre,hear
Sonst,Otherwise
Geschäft,business
werdet,will
konnten,could
wartet,waiting
Raus,Out